Country/Region,Date,Cases,Death,StartDate,days,CasesLog,DeathLog,CFR,dateStr,CFRStr,NewCase,NewDeath,NewDeathLog,NewCaseLog
China,2020-01-23,643.0,18.0,2020-01-15,8,6.467698726104354,2.9444389791664403,0.027993774806566906,01/23,2.79%,95.0,1.0,0.6931471805599453,4.564348191467836
China,2020-01-24,920.0,26.0,2020-01-15,9,6.825460036255307,3.295836866004329,0.02826086649338408,01/24,2.82%,277.0,8.0,2.1972245773362196,5.627621113690637
China,2020-01-25,1406.0,42.0,2020-01-15,10,7.249215057114389,3.7612001156935624,0.029871975115791243,01/25,2.98%,486.0,16.0,2.833213344056216,6.18826412308259
China,2020-01-26,2075.0,56.0,2020-01-15,11,7.638198244285779,4.04305126783455,0.026987950506604793,01/26,2.69%,669.0,14.0,2.70805020110221,6.507277712385012
China,2020-01-27,2877.0,82.0,2020-01-15,12,7.964850887447313,4.418840607796598,0.028501910722908905,01/27,2.85%,802.0,26.0,3.295836866004329,6.688354713946762
China,2020-01-28,5509.0,131.0,2020-01-15,13,8.61431990214696,4.882801922586371,0.023779269853344165,01/28,2.37%,2632.0,49.0,3.912023005428146,7.87587915949631
China,2020-01-29,6087.0,133.0,2020-01-15,14,8.714074899541522,4.897839799950911,0.021849843570727064,01/29,2.18%,578.0,2.0,1.0986122886681098,6.361302477572996
China,2020-01-30,8141.0,171.0,2020-01-15,15,9.004791129062925,5.147494476813453,0.02100479030825709,01/30,2.10%,2054.0,38.0,3.6635616461296463,7.628031126930335
China,2020-01-31,9802.0,213.0,2020-01-15,16,9.190443740261726,5.365976015021851,0.021730258909097543,01/31,2.17%,1661.0,42.0,3.7612001156935624,7.415776975415394
China,2020-02-01,11891.0,259.0,2020-01-15,17,9.383621184117988,5.560681631015528,0.021781178859800028,02/01,2.17%,2089.0,46.0,3.8501476017100584,7.644919344958857
China,2020-02-02,16630.0,361.0,2020-01-15,18,9.71902370267014,5.8916442118257715,0.02170775693501048,02/02,2.17%,4739.0,102.0,4.634728988229636,8.463792414689122
China,2020-02-03,19716.0,425.0,2020-01-15,19,9.889236486766269,6.054439346269371,0.02155609646197963,02/03,2.15%,3086.0,64.0,4.174387269895637,8.034955024502159
China,2020-02-04,23707.0,491.0,2020-01-15,20,10.073567822907728,6.198478716492308,0.020711182263841135,02/04,2.07%,3991.0,66.0,4.204692619390966,8.292047637431354
China,2020-02-05,27440.0,563.0,2020-01-15,21,10.219793524324475,6.335054251498059,0.020517492636598057,02/05,2.05%,3733.0,72.0,4.290459441148391,8.225235324101668
China,2020-02-06,30587.0,633.0,2020-01-15,22,10.328363054164116,6.452048954437226,0.020695066463873323,02/06,2.06%,3147.0,70.0,4.2626798770413155,8.054522609537294
China,2020-02-07,34110.0,718.0,2020-01-15,23,10.43737519189882,6.577861357721047,0.02104954552609339,02/07,2.10%,3523.0,85.0,4.454347296253507,8.16735198705607
China,2020-02-08,36814.0,805.0,2020-01-15,24,10.513660649802818,6.692083742506628,0.02186668109451111,02/08,2.18%,2704.0,87.0,4.477336814478207,7.902857191280582
China,2020-02-09,39829.0,905.0,2020-01-15,25,10.59237567617569,6.80903930604298,0.022722137079208275,02/09,2.27%,3015.0,100.0,4.61512051684126,8.011686729127847
China,2020-02-10,42354.0,1012.0,2020-01-15,26,10.653841756865651,6.920671504248683,0.02389384704185237,02/10,2.38%,2525.0,107.0,4.68213122712422,7.8343923029104365
China,2020-02-11,44386.0,1112.0,2020-01-15,27,10.700701912755346,7.014814351275545,0.025052944565734817,02/11,2.50%,2032.0,100.0,4.61512051684126,7.617267813628347
China,2020-02-12,44759.0,1117.0,2020-01-15,28,10.709070162425862,7.0192966537150445,0.024955874740374286,02/12,2.49%,373.0,5.0,1.791759469228055,5.924255797414532
China,2020-02-13,59895.0,1369.0,2020-01-15,29,11.00036500391052,7.222566018822171,0.02285666579371122,02/13,2.28%,15136.0,252.0,5.53338948872752,9.624897356762565
China,2020-02-14,66358.0,1521.0,2020-01-15,30,11.102834674871971,7.3277805384216315,0.022921124773318778,02/14,2.29%,6463.0,152.0,5.030437921392435,8.774003600200931
China,2020-02-15,68413.0,1663.0,2020-01-15,31,11.133332761029457,7.416979621381154,0.02430824547336289,02/15,2.43%,2055.0,142.0,4.962844630259907,7.628517626575055
China,2020-02-16,70513.0,1766.0,2020-01-15,32,11.163566550645935,7.4770384723196965,0.025045027122594377,02/16,2.50%,2100.0,103.0,4.6443908991413725,7.650168700845001
China,2020-02-17,72434.0,1864.0,2020-01-15,33,11.190444886975753,7.5310163320779155,0.0257337713977776,02/17,2.57%,1921.0,98.0,4.59511985013459,7.561121589530238
China,2020-02-18,74211.0,2003.0,2020-01-15,34,11.214681141146768,7.602900462204755,0.02699060782499817,02/18,2.69%,1777.0,139.0,4.941642422609304,7.48324441607385
China,2020-02-19,74619.0,2116.0,2020-01-15,35,11.220163846775149,7.6577552711348655,0.028357388830783863,02/19,2.83%,408.0,113.0,4.736198448394496,6.013715156042802
China,2020-02-20,75077.0,2238.0,2020-01-15,36,11.22628285209311,7.713784616598755,0.029809395647389485,02/20,2.98%,458.0,122.0,4.812184355372417,6.129050210060545
China,2020-02-21,75550.0,2238.0,2020-01-15,37,11.232563203880659,7.713784616598755,0.029622766340671385,02/21,2.96%,473.0,0.0,0.0,6.161207321695077
China,2020-02-22,77001.0,2443.0,2020-01-15,38,11.251586674524475,7.8013913202914855,0.03172686064891773,02/22,3.17%,1451.0,205.0,5.327876168789581,7.280697195384741
