Country/Region,Date,Cases,Death,DeathPer100Cases,FatalityRate,Cases_log,Death_log
Austria,2020-03-24,5283.0,28.0,0.5300019,0.53%,8.572249397164315,3.332204510175204
Belgium,2020-03-24,4269.0,122.0,2.8578122,2.85%,8.359134886757962,4.804021044733257
Brazil,2020-03-24,2247.0,46.0,2.047174,2.04%,7.717351272185329,3.828641396489095
Canada,2020-03-24,2790.0,25.0,0.89605737,0.89%,7.933796874815411,3.2188758248682006
China,2020-03-24,81591.0,3281.0,4.021277,4.02%,11.309474240751708,8.0959035329611
Denmark,2020-03-24,1718.0,32.0,1.862631,1.86%,7.4489161025442,3.4657359027997265
Ecuador,2020-03-24,1082.0,27.0,2.495379,2.49%,6.9865664594064265,3.295836866004329
France,2020-03-24,22622.0,1102.0,4.871364,4.87%,10.026678163091326,7.004881989712859
Germany,2020-03-24,32986.0,157.0,0.47595948,0.47%,10.403838508008098,5.056245805348308
Indonesia,2020-03-24,686.0,55.0,8.017493,8.01%,6.530877627725885,4.007333185232471
Iran,2020-03-24,24811.0,1934.0,7.7949295,7.79%,10.119042382201663,7.56734567601324
Iraq,2020-03-24,316.0,27.0,8.544304,8.54%,5.755742213586912,3.295836866004329
Italy,2020-03-24,69176.0,6820.0,9.858911,9.85%,11.144409260640266,8.827614750837508
Japan,2020-03-24,1193.0,43.0,3.604359,3.60%,7.084226422097916,3.7612001156935624
"Korea, South",2020-03-24,9037.0,120.0,1.3278743,1.32%,9.109082539901955,4.787491742782046
Netherlands,2020-03-24,5580.0,277.0,4.9641576,4.96%,8.626944055375356,5.6240175061873385
Philippines,2020-03-24,552.0,35.0,6.3405795,6.34%,6.313548046277095,3.5553480614894135
Portugal,2020-03-24,2362.0,33.0,1.3971211,1.39%,7.767263996757308,3.4965075614664802
San Marino,2020-03-24,187.0,21.0,11.229946,11.2%,5.231108616854587,3.044522437723423
Spain,2020-03-24,39885.0,2808.0,7.040241,7.04%,10.59375559234523,7.940227765145702
Sweden,2020-03-24,2286.0,36.0,1.5748031,1.57%,7.734558844354756,3.58351893845611
Switzerland,2020-03-24,9877.0,122.0,1.2351928,1.23%,9.197964100908127,4.804021044733257
Turkey,2020-03-24,1872.0,44.0,2.3504274,2.35%,7.534762657037537,3.784189633918261
US,2020-03-24,53740.0,706.0,1.3137327,1.31%,10.891912882169482,6.559615237493242
United Kingdom,2020-03-24,8164.0,423.0,5.1812835,5.18%,9.007489523929735,6.0473721790462776
